,SUBJECT,RATER,T1,atlas registration,REST1,REST2,REST3,REST4,MID1,MID2,SST1,SST2,nBack1,nBack2
160,subject_000333,,1,1,1,1,1,2,1,1,1,1,1,1
161,subject_000334,,2,2,1,1,0,0,1,1,0,0,0,0
162,subject_000335,user_0042,1,2,2,2,2,0,2,2,2,2,2,2
165,subject_000336,,2,2,2,2,2,2,2,2,2,2,2,2
167,subject_000337,,2,1,2,2,2,2,2,2,2,2,1,2
168,subject_000340,,2,1,1,1,1,1,1,1,1,1,1,1
169,subject_000341,user_0042,2,1,2,2,2,0,0,0,2,2,2,2
170,subject_004068,,2,2,2,2,2,2,2,2,2,2,2,2
171,subject_004069,,2,1,1,1,1,1,1,2,1,2,1,2
172,subject_000344,,2,1,1,1,1,1,1,1,2,1,1,2
174,subject_004070,,1,1,1,1,1,1,1,1,1,1,1,1
175,subject_000349,,2,2,2,2,2,0,0,0,0,0,2,2
176,subject_004071,user_0042,1,1,1,1,1,0,0,0,1,1,0,0
178,subject_000355,,2,2,1,1,1,1,1,1,1,1,2,1
180,subject_003852,,3,2,2,2,2,2,2,2,2,2,2,2
181,subject_000365,,2,2,2,2,2,2,2,2,2,2,2,2
182,subject_000366,,1,2,2,2,2,2,2,2,0,0,2,2
183,subject_004072,,2,1,1,1,1,1,1,1,1,2,1,1
185,subject_000369,,1,1,2,1,1,1,1,1,1,1,1,1
186,subject_000378,,2,1,1,1,1,1,1,1,1,1,1,1
187,subject_000379,,2,2,1,1,1,2,1,1,2,2,2,2
191,subject_000392,,2,1,2,2,2,2,2,2,2,2,2,2
192,subject_000393,user_0066,1,1,1,1,2,0,2,2,1,1,2,2
193,subject_003853,,3,2,2,2,2,2,2,2,2,2,2,2
194,subject_000397,,3,2,2,2,2,2,1,1,2,1,1,1
195,subject_000398,user_0042,2,1,2,0,0,0,0,0,0,0,0,0
196,subject_003854,user_0051,2,1,1,1,1,1,1,1,3,3,1,3
197,subject_000402,user_0051,1,1,1,1,1,1,1,1,1,1,1,1
199,subject_000410,,2,3,3,3,3,3,3,2,3,3,3,3
200,subject_000411,user_0064,3,3,3,3,3,3,3,3,3,3,3,3
201,subject_004073,,2,1,2,2,2,0,0,0,2,2,2,2
204,subject_000416,user_0051,1,1,1,2,2,1,2,2,1,1,1,2
206,subject_000421,,1,1,2,2,2,2,2,2,0,0,0,0
208,subject_000432,user_0051,1,1,1,1,3,2,3,3,2,3,2,2
209,subject_000433,user_0051,1,1,1,1,1,1,1,1,1,1,1,1
210,subject_000434,user_0051,1,1,1,1,1,1,1,1,1,1,1,1
211,subject_000441,,1,2,1,0,0,0,0,0,0,0,0,0
212,subject_000442,,2,3,2,2,2,2,2,2,2,2,2,2
214,subject_004074,,1,1,2,2,2,0,2,2,2,2,2,2
215,subject_004075,,1,2,2,0,0,0,2,2,2,2,0,0
217,subject_000444,user_0051,2,1,1,1,1,1,1,1,1,1,1,1
219,subject_000448,user_0051,2,1,2,2,2,2,1,1,1,1,1,1
220,subject_000449,user_0051,2,2,1,1,1,1,2,2,2,2,2,3
222,subject_004076,user_0051,1,2,2,2,2,2,2,2,2,2,2,2
223,subject_000450,user_0051,1,2,1,1,1,1,1,1,1,1,1,1
225,subject_000451,user_0051,1,1,1,1,1,1,1,1,1,1,1,1
